Accession	Virus Taxonomic ID	Collapse TaxId	Collapse Name
KJ686289.1	39054	138948	Enterovirus A
KJ686288.1	39054	138948	Enterovirus A
KJ686287.1	39054	138948	Enterovirus A
KJ686286.1	39054	138948	Enterovirus A
KJ686285.1	39054	138948	Enterovirus A
KJ686284.1	39054	138948	Enterovirus A
KJ686283.1	39054	138948	Enterovirus A
KJ686282.1	39054	138948	Enterovirus A
KJ686281.1	39054	138948	Enterovirus A
KJ686280.1	39054	138948	Enterovirus A
KJ686279.1	39054	138948	Enterovirus A
KJ686278.1	39054	138948	Enterovirus A
KJ686277.1	39054	138948	Enterovirus A
KJ686276.1	39054	138948	Enterovirus A
KJ686275.1	39054	138948	Enterovirus A
KJ686274.1	39054	138948	Enterovirus A
KJ686273.1	39054	138948	Enterovirus A
KJ686272.1	39054	138948	Enterovirus A
KJ686271.1	39054	138948	Enterovirus A
KJ686270.1	39054	138948	Enterovirus A
KJ686269.1	39054	138948	Enterovirus A
KJ686268.1	39054	138948	Enterovirus A
KJ686267.1	39054	138948	Enterovirus A
KJ686266.1	39054	138948	Enterovirus A
KJ686265.1	39054	138948	Enterovirus A
KJ686264.1	39054	138948	Enterovirus A
KJ686263.1	39054	138948	Enterovirus A
KJ686262.1	39054	138948	Enterovirus A
KJ686261.1	39054	138948	Enterovirus A
KJ686260.1	39054	138948	Enterovirus A
KJ686259.1	39054	138948	Enterovirus A
KJ686258.1	39054	138948	Enterovirus A
KJ686257.1	39054	138948	Enterovirus A
KJ686256.1	39054	138948	Enterovirus A
KJ686255.1	39054	138948	Enterovirus A
KJ686254.1	39054	138948	Enterovirus A
KJ686253.1	39054	138948	Enterovirus A
KJ686252.1	39054	138948	Enterovirus A
KJ686251.1	39054	138948	Enterovirus A
KJ686250.1	39054	138948	Enterovirus A
KJ686248.1	39054	138948	Enterovirus A
KJ686247.1	39054	138948	Enterovirus A
KJ686245.1	39054	138948	Enterovirus A
KJ686244.1	39054	138948	Enterovirus A
KJ686242.1	39054	138948	Enterovirus A
KJ686241.1	39054	138948	Enterovirus A
KJ686240.1	39054	138948	Enterovirus A
KJ686239.1	39054	138948	Enterovirus A
KJ686238.1	39054	138948	Enterovirus A
KJ686237.1	39054	138948	Enterovirus A
KJ686236.1	39054	138948	Enterovirus A
KJ686235.1	39054	138948	Enterovirus A
KJ686234.1	39054	138948	Enterovirus A
KJ686233.1	39054	138948	Enterovirus A
KJ686232.1	39054	138948	Enterovirus A
KJ686231.1	39054	138948	Enterovirus A
KJ686230.1	39054	138948	Enterovirus A
KJ686229.1	39054	138948	Enterovirus A
KJ686228.1	39054	138948	Enterovirus A
KJ686227.1	39054	138948	Enterovirus A
KJ686226.1	39054	138948	Enterovirus A
KJ686225.1	39054	138948	Enterovirus A
KJ686224.1	39054	138948	Enterovirus A
KJ686223.1	39054	138948	Enterovirus A
KJ686222.1	39054	138948	Enterovirus A
KJ686221.1	39054	138948	Enterovirus A
KJ686220.1	39054	138948	Enterovirus A
KJ686219.1	39054	138948	Enterovirus A
KJ686218.1	39054	138948	Enterovirus A
KJ686217.1	39054	138948	Enterovirus A
KJ686216.1	39054	138948	Enterovirus A
KJ686215.1	39054	138948	Enterovirus A
KJ686214.1	39054	138948	Enterovirus A
KJ686213.1	39054	138948	Enterovirus A
KJ686212.1	39054	138948	Enterovirus A
KJ686211.1	39054	138948	Enterovirus A
KJ686210.1	39054	138948	Enterovirus A
KJ686209.1	39054	138948	Enterovirus A
KJ686208.1	39054	138948	Enterovirus A
KJ686207.1	39054	138948	Enterovirus A
KJ686206.1	39054	138948	Enterovirus A
KJ686205.1	39054	138948	Enterovirus A
KJ686204.1	39054	138948	Enterovirus A
KJ686203.1	39054	138948	Enterovirus A
KJ686202.1	39054	138948	Enterovirus A
KJ686201.1	39054	138948	Enterovirus A
KJ686200.1	39054	138948	Enterovirus A
KJ686199.1	39054	138948	Enterovirus A
KJ686198.1	39054	138948	Enterovirus A
KJ686197.1	39054	138948	Enterovirus A
KJ686196.1	39054	138948	Enterovirus A
KJ686195.1	39054	138948	Enterovirus A
KJ686194.1	39054	138948	Enterovirus A
KJ686193.1	39054	138948	Enterovirus A
KJ686192.1	39054	138948	Enterovirus A
KJ686191.1	39054	138948	Enterovirus A
KJ686190.1	39054	138948	Enterovirus A
KJ686189.1	39054	138948	Enterovirus A
KJ686188.1	39054	138948	Enterovirus A
KJ686187.1	39054	138948	Enterovirus A
KJ686186.1	39054	138948	Enterovirus A
KJ686185.1	39054	138948	Enterovirus A
KJ686184.1	39054	138948	Enterovirus A
KJ686183.1	39054	138948	Enterovirus A
KJ686182.1	39054	138948	Enterovirus A
KJ686181.1	39054	138948	Enterovirus A
KJ686180.1	39054	138948	Enterovirus A
KJ686179.1	39054	138948	Enterovirus A
KJ686177.1	39054	138948	Enterovirus A
KJ686176.1	39054	138948	Enterovirus A
KJ686175.1	39054	138948	Enterovirus A
KJ686174.1	39054	138948	Enterovirus A
KJ686173.1	39054	138948	Enterovirus A
KJ686172.1	39054	138948	Enterovirus A
KJ686171.1	39054	138948	Enterovirus A
KJ686170.1	39054	138948	Enterovirus A
KJ686169.1	39054	138948	Enterovirus A
KJ686168.1	39054	138948	Enterovirus A
KJ686167.1	39054	138948	Enterovirus A
KJ686166.1	39054	138948	Enterovirus A
KJ686165.1	39054	138948	Enterovirus A
KJ686164.1	39054	138948	Enterovirus A
KJ686163.1	39054	138948	Enterovirus A
KJ686162.1	39054	138948	Enterovirus A
KJ686161.1	39054	138948	Enterovirus A
KJ686160.1	39054	138948	Enterovirus A
KJ686158.1	39054	138948	Enterovirus A
KJ686157.1	39054	138948	Enterovirus A
KJ686156.1	39054	138948	Enterovirus A
KJ686155.1	39054	138948	Enterovirus A
KJ686154.1	39054	138948	Enterovirus A
KJ686153.1	39054	138948	Enterovirus A
KJ686152.1	39054	138948	Enterovirus A
KJ686151.1	39054	138948	Enterovirus A
KJ686150.1	39054	138948	Enterovirus A
KJ686149.1	39054	138948	Enterovirus A
KJ686148.1	39054	138948	Enterovirus A
KJ686147.1	39054	138948	Enterovirus A
KJ686146.1	39054	138948	Enterovirus A
KJ686145.1	39054	138948	Enterovirus A
KJ686144.1	39054	138948	Enterovirus A
KJ686143.1	39054	138948	Enterovirus A
KJ686142.1	39054	138948	Enterovirus A
KJ686141.1	39054	138948	Enterovirus A
KJ686140.1	39054	138948	Enterovirus A
KJ686139.1	39054	138948	Enterovirus A
KJ686138.1	39054	138948	Enterovirus A
KJ686137.1	39054	138948	Enterovirus A
KJ686136.1	39054	138948	Enterovirus A
KJ686135.1	39054	138948	Enterovirus A
KJ686133.1	39054	138948	Enterovirus A
KJ686132.1	39054	138948	Enterovirus A
KJ686130.1	39054	138948	Enterovirus A
KJ686129.1	39054	138948	Enterovirus A
KJ686128.1	39054	138948	Enterovirus A
KJ686127.1	39054	138948	Enterovirus A
KJ508182.1	39054	138948	Enterovirus A
KJ004560.1	39054	138948	Enterovirus A
KJ004559.1	39054	138948	Enterovirus A
KJ004558.1	39054	138948	Enterovirus A
KJ004557.1	39054	138948	Enterovirus A
KJ004556.1	39054	138948	Enterovirus A
KJ004555.1	39054	138948	Enterovirus A
KJ004554.1	39054	138948	Enterovirus A
KJ004553.1	39054	138948	Enterovirus A
KJ004552.1	39054	138948	Enterovirus A
KF982854.1	39054	138948	Enterovirus A
KF444809.1	39054	138948	Enterovirus A
KF312457.1	39054	138948	Enterovirus A
KF134486.1	39054	138948	Enterovirus A
KC414134.1	39054	138948	Enterovirus A
KC109780.1	39054	138948	Enterovirus A
JX678886.1	39054	138948	Enterovirus A
JX678885.1	39054	138948	Enterovirus A
JX678884.1	39054	138948	Enterovirus A
JX678883.1	39054	138948	Enterovirus A
JX678882.1	39054	138948	Enterovirus A
JX678881.1	39054	138948	Enterovirus A
JX678880.1	39054	138948	Enterovirus A
JX678878.1	39054	138948	Enterovirus A
JX678877.1	39054	138948	Enterovirus A
JX678876.1	39054	138948	Enterovirus A
JX678875.1	39054	138948	Enterovirus A
JX678874.1	39054	138948	Enterovirus A
JX025561.1	39054	138948	Enterovirus A
JX017384.1	39054	138948	Enterovirus A
JQ806378.1	39054	138948	Enterovirus A
JQ681218.1	39054	138948	Enterovirus A
JQ639384.1	39054	138948	Enterovirus A
JQ517316.1	39054	138948	Enterovirus A
JQ514785.1	39054	138948	Enterovirus A
JQ074190.1	39054	138948	Enterovirus A
JQ074189.1	39054	138948	Enterovirus A
JQ074188.1	39054	138948	Enterovirus A
JQ074187.1	39054	138948	Enterovirus A
JN964686.1	39054	138948	Enterovirus A
JN001860.1	39054	138948	Enterovirus A
JF913464.1	39054	138948	Enterovirus A
JF894383.1	39054	138948	Enterovirus A
JF894382.1	39054	138948	Enterovirus A
JF894381.1	39054	138948	Enterovirus A
JF799986.1	39054	138948	Enterovirus A
JF738002.1	39054	138948	Enterovirus A
JF738001.1	39054	138948	Enterovirus A
JF738000.1	39054	138948	Enterovirus A
HQ891929.1	39054	138948	Enterovirus A
HQ891928.1	39054	138948	Enterovirus A
HQ891927.1	39054	138948	Enterovirus A
HQ891926.1	39054	138948	Enterovirus A
HQ891925.1	39054	138948	Enterovirus A
HQ891924.1	39054	138948	Enterovirus A
HQ891923.1	39054	138948	Enterovirus A
HQ882182.1	39054	138948	Enterovirus A
HQ825317.1	39054	138948	Enterovirus A
HQ712020.1	39054	138948	Enterovirus A
HQ647180.1	39054	138948	Enterovirus A
HQ647179.1	39054	138948	Enterovirus A
HQ647178.1	39054	138948	Enterovirus A
HQ647177.1	39054	138948	Enterovirus A
HQ647176.1	39054	138948	Enterovirus A
HQ647175.1	39054	138948	Enterovirus A
HQ647174.1	39054	138948	Enterovirus A
HQ647173.1	39054	138948	Enterovirus A
HQ647172.1	39054	138948	Enterovirus A
HQ647171.1	39054	138948	Enterovirus A
HQ647170.1	39054	138948	Enterovirus A
HQ647169.1	39054	138948	Enterovirus A
HQ647168.1	39054	138948	Enterovirus A
HQ647167.1	39054	138948	Enterovirus A
HQ423143.1	39054	138948	Enterovirus A
HQ423142.1	39054	138948	Enterovirus A
HQ325852.1	39054	138948	Enterovirus A
HQ189392.1	39054	138948	Enterovirus A
HM053670.1	39054	138948	Enterovirus A
HM053669.1	39054	138948	Enterovirus A
HM003207.1	39054	138948	Enterovirus A
HM002489.1	39054	138948	Enterovirus A
HM002488.1	39054	138948	Enterovirus A
HM002487.1	39054	138948	Enterovirus A
HM002485.1	39054	138948	Enterovirus A
HM002484.1	39054	138948	Enterovirus A
GU459071.1	39054	138948	Enterovirus A
GU459070.1	39054	138948	Enterovirus A
GQ892830.1	39054	138948	Enterovirus A
FJ828519.1	39054	138948	Enterovirus A
FJ607338.1	39054	138948	Enterovirus A
FJ607337.1	39054	138948	Enterovirus A
FJ607336.1	39054	138948	Enterovirus A
FJ607335.1	39054	138948	Enterovirus A
FJ607334.1	39054	138948	Enterovirus A
FJ439769.1	39054	138948	Enterovirus A
FJ360546.1	39054	138948	Enterovirus A
FJ360545.1	39054	138948	Enterovirus A
FJ360544.1	39054	138948	Enterovirus A
FJ194965.1	39054	138948	Enterovirus A
FJ194964.1	39054	138948	Enterovirus A
FJ172159.1	39054	138948	Enterovirus A
OR726592.1	12069	138950	Enterovirus C
OR726591.1	12069	138950	Enterovirus C
OR726590.1	12069	138950	Enterovirus C
OR726589.1	12069	138950	Enterovirus C
MZ396299.1	12069	138950	Enterovirus C
MG982663.1	12069	138950	Enterovirus C
KY271947.1	12069	138950	Enterovirus C
KX384964.1	12069	138950	Enterovirus C
KX384963.1	12069	138950	Enterovirus C
KX384962.1	12069	138950	Enterovirus C
KX384961.1	12069	138950	Enterovirus C
OR726587.1	1219416	463676	Rhinovirus C
OM001407.1	1219416	463676	Rhinovirus C
OL133760.1	1219416	463676	Rhinovirus C
OK539509.1	1219416	463676	Rhinovirus C
OK254829.1	1219416	463676	Rhinovirus C
OK017918.1	1219416	463676	Rhinovirus C
MZ670576.1	1219416	463676	Rhinovirus C
MZ322915.1	1219416	463676	Rhinovirus C
MZ268720.1	1219416	463676	Rhinovirus C
MZ268706.1	1219416	463676	Rhinovirus C
MW969527.1	1219416	463676	Rhinovirus C
OR726585.1	1219404	463676	Rhinovirus C
OQ116583.1	1219404	463676	Rhinovirus C
OL961526.1	1219404	463676	Rhinovirus C
OL365070.1	1219404	463676	Rhinovirus C
OK181457.1	1219404	463676	Rhinovirus C
OK161409.1	1219404	463676	Rhinovirus C
OK017955.1	1219404	463676	Rhinovirus C
OK017945.1	1219404	463676	Rhinovirus C
MZ670590.1	1219404	463676	Rhinovirus C
MZ629172.1	1219404	463676	Rhinovirus C
MZ629165.1	1219404	463676	Rhinovirus C
MZ460700.1	1219404	463676	Rhinovirus C
MZ460696.1	1219404	463676	Rhinovirus C
MZ460695.1	1219404	463676	Rhinovirus C
MZ460692.1	1219404	463676	Rhinovirus C
MZ460682.1	1219404	463676	Rhinovirus C
MZ460673.1	1219404	463676	Rhinovirus C
MZ363464.1	1219404	463676	Rhinovirus C
